nitrogen_treatment,Microbial_Group,unique_ASVs_in_group,total_read_count,deseq2_log2FoldChange_HNvsLN,deseq2_lfc_SE,deseq2_lfc_padj,Heritability,Selection_coeff,Selection_coeff_sd,corr_CC_Aug12_r,corr_CC_Aug12_p,corr_ExG_Aug12_r,corr_ExG_Aug12_p,corr_B_r,corr_B_p,corr_Ca_r,corr_Ca_p,corr_CHL_r,corr_CHL_p,corr_Cu_r,corr_Cu_p,corr_DW_r,corr_DW_p,corr_Fe_r,corr_Fe_p,corr_FW_r,corr_FW_p,corr_K_r,corr_K_p,corr_LA_r,corr_LA_p,corr_Mg_r,corr_Mg_p,corr_Mn_r,corr_Mn_p,corr_N_r,corr_N_p,corr_P_r,corr_P_p,corr_S_r,corr_S_p,corr_Zn_r,corr_Zn_p
LN,Aridibacter,7,77151,-0.5385678638474639,0.080326540557284,3.519373719435235e-11,0.493784,0.23467,0.855504,-0.04862469372826241,0.5363756976853118,-0.08920267816781301,0.25600678582688324,0.0061752833132983865,0.933514059171608,0.023180008929205312,0.7489849555042847,0.029145164755547646,0.6866484870150593,0.09148212312636675,0.24255358445881472,-0.09556003001764601,0.18850719236707256,-0.017048326980646226,0.8125271134582295,-0.09279452826112111,0.19930306933673295,0.03950859747695299,0.5805160063011054,-0.07958176032968137,0.26876591654914234,-0.017964199327352843,0.8031568149729023,-0.04878448009523968,0.5350358585409257,0.054418015025441274,0.4546475525457119,0.06366241144596822,0.3753629662817657,-0.040411551519766026,0.5758485947220344,0.048440193969521955,0.5574369500936394
LN,Arthrobacter ramosus,10,40402,-0.22414713071824488,0.09127953713149306,0.016228257859757806,0.208616,0.544256,0.830478,-0.009407195192717073,0.9048379958288402,0.015013880880595859,0.8486732050410698,-0.03838776938938598,0.6039124423116364,0.06343318653822791,0.3808124006584297,0.06200311857981816,0.3904237206630853,-0.006579999781004363,0.9331518609705711,0.02683460854082943,0.712505218000907,0.07050613783167897,0.3261023726706901,0.011101871334877448,0.8782130011448093,-0.12065691176667079,0.09041071894707911,0.012167091917412595,0.8659397327667551,-0.004756714865612019,0.9473800346347546,0.06639799469806343,0.39825710177432394,0.08867967896032797,0.22248857490241178,-0.0336460141669814,0.6396674375318379,0.024376487200313633,0.7358295948068674,-0.030204265486141805,0.7146124846382396
LN,Bacillus anthracis,15,76601,-0.2606008759009467,0.09400669849660526,0.006629403912138322,0.214712,0.271849,0.804852,0.09447582131529518,0.2288524435157495,-0.08160123316383977,0.29892286423752334,-0.16116150113831132,0.028414035271150908,-0.08374394637591452,0.2469107153177319,-0.17267436222470697,0.016055736267108416,-0.16198422358937573,0.03764907536162684,-0.10017900490122264,0.16793040729942502,-0.17594893325909752,0.01363247832207108,-0.09101704797289334,0.2080845693643987,-0.05503347651185519,0.4412581328188604,-0.092451869933615885,0.19862644434766583,-0.11864816482596054,0.09853050117538675,0.019644790694644663,0.8028379904802467,-0.164866582151259,0.022657337245617266,-0.18443501250861308,0.00965873700700132,-0.1172469982996712,0.10349763827444194,-0.033832360810092034,0.6820877445110143
LN,Bacillus aryabhattai,32,229082,0.8859147270232525,0.07704612435230201,4.682459749659198e-30,0.596243,0.396891,0.595659,0.304996029899512,7.156689155307945e-5,0.16216674785947569,0.03802216199490486,-0.019927713214065373,0.7877482089141824,-0.068900278852902,0.3410425706033253,-0.11101479799944063,0.12330904469634227,-0.07583763540509357,0.3329737904577146,0.0676441988491731,0.35247971179915905,-0.1739358328886483,0.014763056825707164,0.08526979403254362,0.23837458046823876,0.046642118998498044,0.5140705694444584,0.11616538408532782,0.10583256209254652,0.002537043683837391,0.9719201277893575,-0.07630385395392243,0.33149421334945006,-0.13006390159439798,0.0729177965626773,-0.023953740838401908,0.7389416763242997,-0.15641252034551692,0.02941213811746556,-0.013602181861404149,0.8692233473264647
LN,Bacillus fumarioli,28,840731,-0.25070588209566724,0.03792189345729697,6.576619616118122e-11,0.839034,0.773706,0.493854,0.3431875850497085,6.836261364510503e-6,0.18117825962077463,0.0202482669694256,-0.1455671152201696,0.048035896304467154,-0.15963329946447893,0.02658688028122836,-0.18947964866837147,0.008142450307143174,-0.15397325542356058,0.04831612125969283,0.1676240920316212,0.02045865441071495,-0.11702079194184936,0.10237882435998398,0.21306131487925234,0.0029303672249293596,0.17199177238832977,0.015397235138463998,0.2371549822653381,8.433866675242591e-4,-0.0979958904985984,0.17290683263996462,-0.13292095228232317,0.08974656706693401,-0.22172662243170876,0.002051519303741914,-0.21062653728346908,0.0030443407184490095,-0.32856902935724397,2.9056272071071487e-6,-0.15303821226791445,0.06241604057878174
LN,Blastococcus,16,104145,-0.26563282006408634,0.07295720842083664,3.5126433437697604e-4,0.586911,0.144884,0.662739,0.33230786523948,1.3785018050148103e-5,0.11881661586282415,0.12968891907877753,-0.14614129538624865,0.04715184459257684,-0.20289131134390517,0.004657144687014092,-0.1519991466150752,0.03436774276258098,-0.08202621179741708,0.29491430446554867,0.21008589837667846,0.0035340337858811507,-0.1655485529695025,0.020401608776014463,0.2212807240002456,0.0019841830851935736,0.16692706446313837,0.018747392712105945,0.2200580691248272,0.0019937014463402465,-0.13985645566418795,0.05117283882372797,-0.18741111254209833,0.01626086473651383,-0.14844801265465624,0.04041377499988337,-0.23985292559898658,7.091266666232349e-4,-0.25297722983697385,3.7246854033160827e-4,-0.17762241921119687,0.030222568321199485
LN,Bradyrhizobium elkanii,29,656276,0.21109409039599938,0.024955284779597936,5.398538970713859e-17,0.774297,0.358544,0.703332,0.2867976066822515,1.966878083010895e-4,-0.05197200018436113,0.5086620671576587,0.04379622764972547,0.5538909646572027,-0.07751899524018445,0.28392408842297673,-0.1410233319389725,0.04983856325823911,-0.10600095458666206,0.17539317729940124,-0.0782040290010364,0.28221612491445613,-0.14549238220511782,0.041880642734324056,-0.06960800903622391,0.33609439744537173,0.06131805841399078,0.3908005634833651,-0.05870283772829464,0.41497301513834906,-0.09394715321538233,0.19143109467637295,-0.13931009836379607,0.07522672460787622,-0.1369420964299764,0.05888334832285855,-0.20709869596827818,0.003585726476869975,-0.1995732834752499,0.005272560115096996,-0.15728336014697913,0.055408401045111626
LN,Bryobacter,5,27595,-0.2708948327432195,0.08054633407623653,9.550371912533534e-4,0.190809,,,-3.8367010555255294e-4,0.9961096952606046,0.020502301718492672,0.7944189530531587,-0.023003137853205097,0.75595494864072,-0.047936522996801165,0.5079647552079285,-3.133714409589465e-4,0.9965399429875954,-0.12146094188742915,0.12016234305270482,-0.0648621195730474,0.3726785874957075,-0.09726246063929078,0.17504116107241943,-0.06727651038829671,0.3525692000972147,-0.10255682405990327,0.150502397345954,-0.019251137100482898,0.7893737658554801,-0.013568837954514548,0.8506658057479694,-0.09704160009809656,0.2164016591471268,-0.04108315588396054,0.572555594132943,-0.08805548142383328,0.21971853833542732,-0.11355982419627354,0.11489038340674068,-0.10440730389540853,0.2050885520078196
LN,Burkholderia insecticola,9,60309,-0.29378582118897667,0.08164596998668365,4.037611580401442e-4,0.137675,0.279633,0.829477,0.260437759432992,7.570614363317614e-4,-0.011987047626450885,0.8789184474730325,0.10430838336749512,0.15765903228854375,0.05662709035680708,0.4340933963556546,0.0119236635106218,0.8689361049412265,-0.03874384079555912,0.6212526773852252,-0.034977322111214605,0.6309642613775712,-0.15460422205336374,0.030491954972217263,-0.04837663326800138,0.5040728440519737,-0.03236586303459241,0.6507913362124652,-0.030141687790367588,0.6757316458044511,0.10289326577074658,0.15231833387207766,0.096578928783236,0.218610376821117,-0.01973716657906468,0.7863841797880933,-0.07439628138663758,0.3000516074371228,-0.09938236088048537,0.16798537246453396,0.03154552103280141,0.702524925081148
LN,Burkholderia oklahomensis,31,432446,0.15524538993657244,0.11117592159956419,0.175971931202201,0.784188,-0.140179,0.571271,-0.14480421499107277,0.06431679724438698,-0.2246847404896625,0.0038226634573830178,0.17241496092977848,0.018935174529934325,0.09332688112437568,0.19672606676749363,0.02886759883110157,0.6894776845696523,-0.0020918118760966126,0.9787264775245365,-0.12607368323161092,0.0822325694221368,0.04731019605288287,0.5102329430473482,-0.16015120167657718,0.026093406593369898,-0.15287312458237912,0.031543345505935,-0.14564397944080537,0.04219647012766095,-0.03481076043762412,0.6290055699312631,0.06499722577402103,0.40830576272799657,0.018448884685048496,0.8000236221410468,0.060775208991461736,0.39744501662454257,0.04329365661601029,0.5489094797309513,0.08509108404487438,0.30216852739824906
