genotype,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96,T97,T98,T99,T100,T101,T102,T103,T104,T105,T106,T107,T108,T109,T110,T111,T112,T113,T114,T115,T116,T117,T118,T119,T120,T121,T122,T123,T124,T125,T126,T127,T128,T129,T130,T131,T132,T133,T134,T135,T136,T137,T138,T139,T140,T141,T142,T143,T144,T145,T146,T147,T148,T149,T150
B64,-4.40631273314346,-6.38738655350765,-5.07034278997772,-6.32215496972842,-3.17382601912557,-4.03390809403647,-5.69246800968709,-6.47055622341832,-3.41937118720381,-5.30629591161656,-6.60235774333375,-6.66227420354848,-5.96237162553014,-6.54386671237569,-4.38652879967138,-6.05825336013501,-5.58125566268039,-6.03395081883964,-4.54196016789029,-4.46479288082119,-5.79155686828836,-5.78032330960068,-5.51083997135944,-5.5016451566983,-4.67960283312015,-4.42124799705422,-3.92684028440089,-3.03257407410374,-5.54754316455274,-5.14050125284468,-5.13587941860868,-5.62833412403037,-5.58757305107117,-5.25149046925617,-6.67793758491058,-6.49863807901069,-6.57433987583422,-6.46917210881588,-5.29992602348098,-6.2596150915863,-6.68231989614103,-6.26356053746229,-5.47979041234242,-6.52677100722217,-5.79215510048808,-6.42630896864467,-5.76776938582211,-5.62159860386091,-5.97865520375458,-6.43991676613614,-6.42688871503811,-6.11997007229327,-6.05018905509514,-4.31549566524791,-6.35558544640994,-6.45417935962051,-6.49884734037861,-6.22170906415571,-6.17448630736954,-6.09404713215696,-5.94062853861443,-5.39736818207532,-6.5944860464053,-5.19389715376763,-5.43928919253322,-6.38972894344515,-4.21341499486426,-5.944419668542,-3.5479593683072,-6.32596136349659,-6.16096999639179,-6.36537787974382,-6.17549618492977,-6.29512716776433,-6.66789065987399,-6.53712561526655,-6.57601404077492,-5.79443254230484,-5.73551251163501,-4.72154451927045,-5.96123660836941,-4.27042093865874,-6.18253279431751,-5.78384440756911,-5.25881264395811,-6.11726048402005,-5.01876636379783,-5.15301027462259,-6.10330833997565,-6.27928076112664,-5.29175236018441,-6.40337730906273,-4.63135746200327,-6.50676752387528,-6.26641344121979,-6.3414133684705,-6.45467731927483,-6.25085387357886,-4.49699055078573,-5.04369584013607,-5.01401064235976,-5.65545212228342,-5.7643689371578,-5.66193137097382,-6.35126409981978,-6.15494881296813,-6.43510927658121,-5.96473930569817,-4.43489171884177,-6.27460212861304,-5.97598045419865,-5.05630560027642,-6.62368325614716,-6.59864389913144,-6.02927652935126,-5.84517872789268,-4.53391597716998,-6.6800935959496,-4.74890628954575,-6.13263672690177,-6.44060608618611,-6.63719834670558,-6.54189375352338,-6.5133162915937,-6.56377552238868,-6.51827974027323,-6.05361839661822,-6.00166195793067,-3.19070357871264,-4.91426395398848,-4.46019438485414,-6.55945603187076,-4.75846791802825,-6.26211810889206,-6.49636927211455,-5.26952304244342,-2.26437251088712,-6.57319708110164,-6.80137364662168,-6.04284594788531,-6.48662952129947,-6.58851346300593,-4.1445760113588,-6.73010111682088,-5.02888039489494,-6.53246392792703,-6.20773821753919,-6.87875293025062,-3.85591691392779,-3.66731672978206
B68,-4.44625754560708,-6.38738655350765,-5.03170897224271,-6.50236657699175,-2.97107665844025,-3.99761865689667,-5.69246800968709,-6.46948588835808,-3.41937118720381,-5.30365330159312,-6.61009556695228,-6.66942089953559,-6.08777649359413,-6.50367460045373,-4.38652879961878,-6.13867143494689,-5.50900285805411,-6.01974803586439,-4.2869715177958,-4.46493628549418,-5.82467053176914,-5.81482596732335,-5.53223783470316,-5.55596556131888,-4.83151284711109,-4.41188051495414,-3.88100303409975,-2.96458528061741,-5.54754316455274,-5.1549309705656,-5.19896765798708,-5.403807768497,-5.59361827911437,-4.8919315419299,-6.72237899004964,-6.47941896604589,-6.53789288143745,-6.4467807022925,-5.40824393862737,-6.25961509437898,-6.69170840896129,-6.32300068873738,-5.47979041234242,-6.52677100730923,-5.7921551061853,-6.42630896864467,-5.79735596259735,-5.67856226458234,-5.9482376101961,-6.43886386428912,-6.42131211977585,-6.13442347041905,-6.10493375311215,-4.59764320255327,-6.53287970940835,-6.44463562087863,-6.50200572767297,-6.19882565812721,-6.16901280463495,-6.16995022455797,-6.19404775500969,-5.26141642313344,-6.52674120680674,-5.18234665782466,-5.59276755016299,-6.4942058149764,-4.02342985781609,-5.94610471815613,-3.4976770199649,-6.32723299375398,-6.1727301138253,-6.42671367862103,-6.30308374091334,-6.282900474647,-6.66789065987399,-6.53712561936895,-6.57267898863288,-5.79443254230484,-5.73551251257376,-4.52845358007634,-6.01068783503709,-4.27480626089941,-5.81164821304395,-5.85427206308005,-5.25881264395811,-6.11605999360467,-5.22915039433326,-5.28832433703339,-6.08933274296873,-6.34240976874224,-5.2430205786996,-6.40337730906273,-4.79934388793146,-6.50776341346987,-6.26641344046381,-6.25930987920589,-6.49794753282917,-6.27949892254611,-4.65995787616461,-5.03632697115521,-4.94459804692546,-5.65545212228342,-5.76097607997027,-5.69270317411064,-6.35126409981978,-6.1595982329456,-6.42385703429684,-6.00116438318947,-4.45111494747483,-6.30681831999979,-6.01914556587213,-5.05630560027642,-6.45067097060461,-6.59864389913144,-6.48325254008834,-5.84517872789268,-4.58164652888833,-6.68084397024512,-4.74890628954575,-6.04068480286317,-6.47633175473819,-6.5713093669041,-6.42772771084516,-6.44903301444199,-6.56377552245842,-6.45265110938175,-6.05361839646776,-6.17850873433804,-3.49497080180173,-4.91426395376901,-4.67055758979962,-6.55945603187076,-4.70690886245266,-6.26211811011428,-6.49636927213252,-5.26750959333254,-2.3098243452795,-6.39355379294383,-6.78991812418714,-6.24907436852648,-6.48662952129947,-6.64949106980675,-4.126447592806,-6.72628590526848,-5.08438858659365,-6.53163582893822,-5.7038826258391,-6.87471920591011,-3.85762743085708,-3.60776018881601
B73,-4.54588059395194,-6.38738655350765,-5.19813036721461,-6.53492094495874,-3.16448256423956,-3.94072464948262,-5.69246800968709,-6.47353390645914,-3.41937118720381,-5.05253325915341,-6.60097492484202,-6.66187473531972,-6.13494216962382,-6.5524955111442,-4.38652879953144,-6.01778769917567,-5.25594501091333,-6.04701610562385,-3.95287526473328,-4.5136823456242,-5.93370707168533,-5.68944244781321,-5.53803873750733,-5.59142117086678,-4.86904670381409,-4.44995375729739,-3.97248479976624,-3.2004744381931,-5.54754316455274,-5.19463024026556,-5.37054963951097,-5.45546538965821,-5.58605117778449,-4.74622952317294,-6.69205982509477,-6.5075817576672,-6.54488732751927,-6.42339511202613,-5.42061436642505,-6.25961509263632,-6.68591468624562,-6.30614304568721,-5.47979041234242,-6.526771007368,-5.79215510189812,-6.42630896864467,-5.7904069266903,-5.70062791458359,-5.94622299788865,-6.44012827511841,-6.3976728976864,-6.08735248548523,-6.03871103152179,-4.54926754747061,-6.4945788986227,-6.27689498157546,-6.48198977298958,-6.23554749812868,-6.13397169093008,-6.09670944917585,-5.98506434911657,-5.45526582655981,-6.5482264637657,-5.25857372137179,-4.99792790445685,-6.36714670591539,-3.92738114553316,-5.94131809789744,-3.55842007625508,-6.32306849579769,-6.17307364235824,-6.42671367881086,-6.32526589998054,-6.27902891384863,-6.66789065987399,-6.53712561526655,-6.67834466698522,-5.79443254230484,-5.73551251116876,-4.5046176096724,-6.05404944470381,-4.34204564701885,-5.90264189157082,-5.90196884196092,-5.25881264395811,-6.12103336932801,-4.94885403087139,-5.24397595650401,-5.99191203119094,-6.36078906566165,-5.33837666004114,-6.40337730906273,-4.94368378490128,-6.50805941812216,-6.26641343973243,-6.37064640256927,-6.45272999199015,-6.33061480403433,-4.52844542318987,-5.03156464807368,-5.00735958139989,-5.65545212228342,-5.61926138095848,-5.77822919240723,-6.35126409981978,-6.17529798823269,-6.40214207660506,-6.01817906613241,-4.35433520538604,-6.30731506953184,-6.03666994977766,-5.05630560027642,-6.70284213207673,-6.59864389913144,-6.24136784456137,-5.84517872789268,-4.53136191872638,-6.67490551584856,-4.74890628954575,-6.02271589472893,-6.42719146731998,-6.5062768184385,-6.1684363574234,-6.44898827157581,-6.56377552247916,-6.50454459197542,-6.05361839634452,-6.20188212504829,-3.28068763507348,-4.91426395365192,-4.91260263121174,-6.55945603187076,-4.80736866024902,-6.26211810403946,-6.49636927156017,-5.03727166520411,-2.20551432061615,-6.25630916564737,-6.80137364662168,-6.32222816566451,-6.48662952129947,-6.64949105000837,-4.05855653762126,-6.69395089877829,-5.36911937203001,-6.55376225430387,-5.25841507060614,-6.84857244480744,-3.81730901349303,-3.79612469423333
B73HTRHM,-4.48867984781443,-6.38738655350765,-4.93082910512366,-5.84303315116445,-3.09488554044945,-3.92921008687651,-5.69246800968709,-6.47253976046029,-3.41937118720381,-5.21745898583422,-6.58749685997364,-6.65900021265653,-6.12844069305692,-6.51854866293799,-4.38652879889248,-6.05731209617403,-5.18619890182446,-6.03963671094945,-4.13439142000456,-4.5566768280172,-5.93545804424663,-5.8476564505107,-5.51657183393191,-5.51135669866309,-5.02655797107744,-4.45419862462295,-3.99228405735396,-3.16819135674193,-5.54754316455274,-5.19383553624641,-5.36633262127614,-5.63151086178466,-5.59352090931415,-4.59195806937666,-6.68155338875906,-6.50446435440895,-6.54523818188336,-6.52720060251975,-5.53630995568243,-6.25961509426848,-6.68796450689275,-6.33600267997357,-5.47979041234242,-6.52677100740127,-5.79215510135221,-6.42630896864467,-5.8071443267446,-5.64374255370312,-5.99590406673258,-6.43976481971873,-6.40048968145329,-5.89917867646725,-6.08288949002445,-4.79341115788837,-6.4764891741346,-6.33494233599788,-6.48923348876301,-6.23554749812868,-6.06982214255058,-6.05633303960158,-6.1644145854539,-5.25281715929278,-6.24733858500615,-5.14516526825538,-4.95175206169501,-6.52201946742814,-3.46979505615346,-5.94356939431298,-3.59254995144937,-6.32560134806206,-6.17557770091477,-5.90304135900141,-6.39955647583829,-6.30321920783605,-6.66789065987399,-6.45432631023755,-6.70646488663372,-5.79443254230484,-5.73551251174192,-4.55402478233233,-6.05404944470381,-4.34442347928061,-5.34201761197153,-6.02478194817601,-5.25881264395811,-6.12315529349986,-5.04332870097478,-5.32651301219853,-6.01728507408381,-6.37566809568363,-5.3080646597705,-6.40337730906273,-5.0019753514682,-6.50672947604035,-6.26641344625236,-6.32942402862835,-6.44283400083765,-6.3730499163516,-4.65072097179779,-5.26960935636635,-4.99098012876688,-5.65545212228342,-5.83280159164932,-5.81315018357788,-6.35126409981978,-6.19158147218934,-6.41865977450282,-5.98172686648077,-4.35015473740719,-6.31907608736841,-6.03610096529134,-5.05630560027642,-6.55642393794872,-6.59864389913144,-6.09248431521295,-5.84517872789268,-4.6590686099846,-6.6800935959496,-4.74890628954575,-6.01202304941517,-6.46522078466145,-6.45485028731965,-5.97478182974774,-6.44011834065655,-6.56377552249304,-6.57393476261108,-6.05361839764741,-6.24387750988093,-3.79744361431691,-4.91426395961995,-4.99074275417005,-6.55945603187076,-5.02440113503757,-6.2621181205115,-6.49636927175509,-5.05799715253385,-2.28220163838384,-6.29904811116574,-6.80137364662168,-6.32222816566451,-6.48662952129947,-6.33567154973104,-4.14619261598207,-6.56874502562365,-5.71959017655991,-6.57963998098173,-5.95393522959402,-6.87875293025062,-3.74525257366674,-3.98365534311403
B75,-4.51221788739778,-6.38738655350765,-5.18612491172104,-6.61782200150757,-3.17352768774695,-4.07856673570753,-5.69246800968709,-6.47562796525722,-3.41937118720381,-5.31110966084935,-6.63765181917887,-6.66942089953559,-6.04162512708413,-6.52039006208705,-4.38652879912591,-6.18219840008064,-5.15946083037732,-6.04104700131579,-4.1132237688595,-4.53623881477505,-5.84297221341739,-5.78309218011145,-5.4580020467059,-5.32794771240491,-4.81092935716878,-4.45052201178005,-3.81706962061089,-3.18512196250275,-5.54754316455274,-5.14978931800933,-5.24011732241126,-5.54599235847888,-5.58391507781614,-4.97396067084377,-6.70787262639431,-6.51964231387983,-6.54504141034459,-6.44648190270685,-5.36063333233842,-6.2596150933913,-6.68127911892182,-6.28871517233432,-5.47979041234242,-6.52677100668258,-5.79215509595348,-6.42630896864467,-5.80809108701698,-5.63021660580739,-5.91433977262139,-6.44056564333118,-6.40736943308133,-6.09069866444932,-6.04995526665211,-4.51725200629438,-6.40999282234524,-6.45417935962051,-6.50189456656182,-6.12712076084757,-5.96933095665403,-6.14991236550277,-6.1987949225434,-5.33796447561825,-6.49482648032642,-5.11303878046287,-5.60727987938754,-6.52201946742814,-3.534227338575,-5.94398387710624,-3.47663221843761,-6.32334451248202,-6.17022769026898,-6.19875870457738,-6.32278155386631,-6.26704178904947,-6.66789065987399,-6.47162223605851,-6.66678140374188,-5.79443254230484,-5.73551251349194,-4.54704074019716,-5.99842183344142,-4.23320144209447,-5.87859757300643,-5.80936361655625,-5.25881264395811,-6.11928126622983,-5.06321283611633,-5.27249262921607,-6.28805566912634,-6.28147762131928,-5.31616231690122,-6.40337730906273,-4.82964160574456,-6.50709508405556,-6.26641344499958,-6.32524939314045,-6.47202682882881,-6.29224213981225,-4.79530358964696,-5.0356994715253,-5.02230162643202,-5.65545212228342,-5.46404752655455,-5.67323112909667,-6.35126409981978,-6.19148287381395,-6.43897737673794,-6.02644045676904,-4.45836512248064,-6.31109495350053,-6.03869631659712,-5.05630560027642,-6.70284213207673,-6.59864389913144,-6.21491594765253,-5.84517872789268,-4.498013325168,-6.6668989860173,-4.74890628954575,-6.13263672690177,-6.46152556982064,-6.61113281382241,-6.54189375352338,-6.52953199487053,-6.56377552252977,-6.58223150448091,-6.05361839703319,-6.0976162472273,-3.64122348511352,-4.91426395745685,-4.70976503918395,-6.55945603187076,-4.91649602024289,-6.26211809581649,-6.49636927211455,-4.95598783564445,-2.23801692989552,-6.27419858826856,-6.78435867779268,-6.22594823267711,-6.48662952129947,-6.5485186417767,-4.1095380295981,-6.6695685559289,-5.30014879126214,-6.54467381873226,-5.83354291891931,-6.83241038132605,-3.80212771756898,-3.89861967883369
B76,-4.42756507061207,-6.38738655350765,-4.93660129730937,-6.56528383856143,-2.97619789694269,-4.27977270100242,-5.69246800968709,-6.47208802668236,-3.41937118720381,-5.1615504687316,-6.63765181917887,-6.66942089953559,-6.00349058820694,-6.53821941605071,-4.38652879961992,-5.90200072926029,-5.22486563580775,-5.98579596354191,-4.35320398399848,-4.45030755559997,-5.75674347690368,-5.52740393747577,-5.59175340226228,-5.47925296465563,-4.80330527461736,-4.43080512347431,-3.93935305300994,-2.94277483038119,-5.54754316455274,-5.32293603076641,-5.15940768028674,-5.44692126941946,-5.57875062165587,-4.92326186791703,-6.71816622485702,-6.49892539301207,-6.56172319396084,-6.43014803530861,-5.31330594277374,-6.25961509081265,-6.67608651345603,-6.2657464522459,-5.47979041234242,-6.52677100753479,-5.79215509861767,-6.42630896864467,-5.76999776661462,-5.63180215005416,-5.90647469198569,-6.43932806317922,-6.38045013385903,-6.08721502310919,-6.04981190575178,-4.52573015939038,-6.46262120025747,-6.44071676729629,-6.50189456656182,-6.23554749812868,-6.17064382379907,-6.06458865180576,-6.01472122672281,-5.25943149332065,-6.5177259278167,-5.22847249965134,-5.50264975263645,-6.40678729426694,-3.97120273909748,-5.94513371139872,-3.50400094319894,-6.31929780963595,-6.17656240148886,-6.34583441527289,-6.29775724213941,-6.26714042085475,-6.66789065987399,-6.48903763711407,-6.64205438368017,-5.79443254230484,-5.73551251176175,-4.85242694638251,-6.00802938059677,-4.36423492346277,-5.8666522553005,-5.70102482652494,-5.25881264395811,-6.11791633993855,-5.23164870400281,-5.1953192634998,-5.89486307148344,-6.38628876353815,-5.27976904975357,-6.40337730906273,-4.54809685712052,-6.50507934657212,-6.26641343293887,-6.25797459824211,-6.47664914450232,-6.24203574360726,-4.57167481293004,-5.15278747364568,-5.00906863330253,-5.65545212228342,-5.89259490185407,-5.61839171767484,-6.35126409981978,-6.15877158389038,-6.294676440594,-6.04695765464399,-4.43689122265388,-6.22272736859334,-5.90514867381358,-5.05630560027642,-6.60991929697894,-6.59864389913144,-6.21605814363012,-5.84517872789268,-4.45157011966087,-6.6800935959496,-4.74890628954575,-6.0699225847868,-6.39291427122871,-6.59851135211521,-6.33416209589597,-6.49293737069935,-6.56377552260103,-6.52791901533673,-6.05361839643231,-6.17051546988144,-3.56229815910506,-4.91426395211469,-4.96033066697441,-6.55945603187076,-4.88681238399876,-6.26211808307945,-6.49636927211455,-5.12190732899158,-2.32939658136803,-6.5128405657549,-6.77098998284439,-6.12658737396741,-6.48662952129947,-6.64949105000837,-4.06234365322064,-6.73010111682088,-5.15572738224858,-6.46525553012058,-5.43261903506547,-6.87875293025062,-3.75184657952454,-3.65698228720581
B77,-4.49534369017352,-6.38738655350765,-5.11266787748891,-6.43374377405952,-2.92914819988642,-3.79884740561648,-5.69246800968709,-6.47540548997735,-3.41937118720381,-5.16321672142152,-6.62004313545264,-6.64047858746479,-6.09509909140869,-6.50080172024237,-4.38652879981783,-6.11737726762322,-5.01013397524921,-6.06499284655566,-4.76700270313374,-4.51845967649016,-5.84380715728683,-5.64410856389405,-5.51806091873748,-5.43236696805963,-4.78302164186907,-4.42268869461371,-3.93633249615231,-3.11760622518321,-5.54754316455274,-5.18210139320122,-5.13101046358375,-5.65647781098094,-5.57956810569191,-5.05766773226354,-6.69044600684826,-6.49975293574032,-6.57433987583422,-6.32009924284417,-5.4516430331135,-6.25961509425123,-6.68252009154948,-6.31634775033053,-5.47979041234242,-6.52677100710386,-5.79215509374242,-6.42630896864467,-5.8102857468627,-5.63038628988109,-5.96290996204138,-6.43899564390974,-6.39656351287481,-5.94862218116076,-5.95062362252994,-4.49149744247521,-6.28663601959284,-6.35095754645981,-6.49858779710915,-6.23554749812868,-6.20540459821896,-6.07855378935878,-6.11112520050511,-5.22897513654139,-6.33667700411288,-5.16545256982872,-5.21737626504768,-6.27065688573649,-4.0217051737799,-5.95310423381947,-3.53547239650011,-6.31475446043659,-6.16718948396864,-6.18738383075132,-6.25707454546202,-6.27613363314998,-6.66789065987399,-6.50395416772998,-6.70646488663372,-5.79443254230484,-5.73551251070216,-4.74685973272297,-5.97848933416148,-4.32782744546897,-5.85081235998208,-5.74039884786793,-5.25881264395811,-6.11761161228251,-5.14793396143878,-5.26465700615191,-5.93433725717178,-6.2718217695955,-5.23371752942468,-6.40337730906273,-4.62005158302595,-6.50461075059641,-6.26641343791776,-6.25537006311411,-6.46785394291667,-6.32637783014978,-4.86573575872344,-4.97334034954495,-4.94943252168842,-5.65545212228342,-5.71100901674821,-5.69678172612396,-6.35126409981978,-6.17258346540234,-6.3858203648246,-5.95934257166694,-4.37233700195111,-6.28631108928076,-5.95948510600996,-5.05630560027642,-6.47117334242778,-6.59864389913144,-6.42914621746463,-5.84517872789268,-4.55895921095533,-6.6800935959496,-4.74890628954575,-5.9679573137163,-6.47745987325814,-6.63719834670558,-6.54189375352338,-6.48611921308758,-6.56377552255983,-6.55534611179884,-6.05361839736403,-6.15964960053849,-3.55571592504401,-4.9142639549535,-4.74976615516969,-6.55945603187076,-4.72838357899902,-6.2621181205115,-6.49636927166818,-5.11858448602985,-2.26257342375984,-6.47217469656079,-6.80137364662168,-6.10593063334488,-6.48662952129947,-6.64949105000837,-4.13944662589486,-6.73010111682088,-5.24652330606051,-6.47596199936476,-5.56673782948704,-6.87875293025062,-3.75761820845579,-3.77754171006082
B79,-4.42883181405462,-6.38738655350765,-4.70996978125214,-6.23228943935757,-3.02400786735722,-4.56383715787407,-5.69246800968709,-6.47571504173336,-3.41937118720381,-5.13682278670159,-6.55915843499694,-6.66432268981764,-6.07984909118543,-6.53352375634936,-4.38652879969037,-6.01982577019102,-5.09823560706187,-5.98746235542188,-4.28819957946059,-4.44175349090609,-5.84584436708094,-5.65350751017861,-5.49784067401893,-5.46004232050892,-4.91362593276485,-4.43818672956961,-3.92770115522416,-3.14293243099916,-5.54754316455274,-5.22500075959039,-5.28807224814708,-5.56192450346903,-5.58056614637719,-4.70634904814937,-6.71489054556634,-6.48386132099208,-6.54439378477982,-6.42839732728088,-5.32601225799224,-6.25961509209719,-6.6766897600456,-6.22215840238724,-5.47979041234242,-6.52677100754178,-5.79215509703051,-6.42630896864467,-5.79247168583171,-5.63811260662517,-5.98950781811139,-6.4395127886956,-6.40714671572371,-5.94696662301348,-6.13543539224557,-4.48769378093234,-6.45180274572153,-6.43007400232367,-6.50204084881795,-6.1726417493235,-6.20540459821896,-6.04664629929871,-6.117623768521,-5.33352523585059,-6.56744932461777,-5.10668889212563,-5.36473311848879,-6.47222925340404,-3.73950643246,-5.94490932094832,-3.52994733767127,-6.32038188040978,-6.1662632251594,-5.97316625512952,-6.26455092241946,-6.32743014081688,-6.66789065987399,-6.50047268734938,-6.69611469841853,-5.79443254230484,-5.73551251297881,-4.62846561666598,-6.03358870968749,-4.25567421688774,-5.82918061142011,-5.79246972548364,-5.25881264395811,-6.11591871476482,-5.20161805452432,-5.27452721838114,-5.98445485584639,-6.31306224506122,-5.33304448883192,-6.40337730906273,-4.67349990624665,-6.5053467532783,-6.26641343223944,-6.31242761221869,-6.42686600681431,-6.26220402328371,-4.55130019289951,-5.13292785949236,-4.95947041258822,-5.65545212228342,-5.93679751733219,-5.82898968288818,-6.35126409981978,-6.18034840317412,-6.3228222252845,-5.93951431911458,-4.41898214983645,-6.25282990199082,-5.9167691563758,-5.05630560027642,-6.53640752414097,-6.59864389913144,-6.27572032685267,-5.84517872789268,-4.52750024702856,-6.68061165822564,-4.74890628954575,-6.03594820357217,-6.4791749547198,-6.59038817866752,-6.46931453882099,-6.42703527070289,-6.56377552239984,-6.52212258588015,-6.0536183969401,-6.20808481096359,-3.58216791750581,-4.91426395462448,-4.80271162138741,-6.55945603187076,-5.05772944737588,-6.26211811023868,-6.49636927210773,-5.04469909996345,-2.33038859780353,-6.59957852890697,-6.77980522940993,-6.24474322220691,-6.48662952129947,-6.54184136806449,-4.20060357721236,-6.60495814267988,-5.4852567227224,-6.483391523205,-6.17922594604068,-6.87386470087155,-3.80337720964637,-3.74217394572251
B84,-4.42288380340672,-6.38738655350765,-5.10204696997937,-5.26587789270894,-2.88151274064205,-4.18667167226291,-5.69246800968709,-6.47534994996897,-3.41937118720381,-5.17109127343903,-6.63765181917887,-6.66942089953559,-6.18550291991347,-6.54790452630045,-4.3865287990547,-6.04154477004443,-5.28578575289016,-6.03218806494729,-4.18319679715298,-4.52899086723324,-6.01448143348488,-5.48992960896146,-5.6132754798661,-5.63041915439903,-4.90617631105556,-4.46597379249633,-3.86075505004929,-2.98482283514647,-5.54754316455274,-5.31332869706182,-5.43990633810663,-5.415849137217,-5.59833606350929,-4.57593556415561,-6.61953852017776,-6.50709410584342,-6.53474613825117,-6.56918045221281,-5.51629980660976,-6.2596150940187,-6.68769944207352,-6.34213049069261,-5.47979041234242,-6.52677100684628,-5.79215510372383,-6.42630896864467,-5.77788522034085,-5.67319158806395,-5.98404484152087,-6.43769932804726,-6.42196742149025,-5.95376042612846,-6.06825539869294,-4.95982320241048,-6.49037736507663,-6.12321974074457,-6.50189456656182,-6.231068155675,-6.09184209978054,-6.05946779381945,-6.1987949225434,-5.27907977019983,-6.23674953504835,-5.05000032671289,-5.88697818292811,-5.68671904832263,-3.62631667801392,-5.95024337121552,-3.58048481276214,-6.32298294349492,-6.17516373811222,-6.30673973737797,-6.35812758787546,-6.32265501217649,-6.66789065987399,-6.47067438470305,-6.67639441927439,-5.79443254230484,-5.73551251294239,-4.42594835149584,-5.99124968996801,-4.29738834729248,-5.84529484240538,-5.98811220059307,-5.25881264395811,-6.12491677241592,-5.38559572277244,-5.43295675612572,-6.26147690570842,-6.3429004380271,-5.33411771653532,-6.40337730906273,-4.90358242453784,-6.5084166576945,-6.26641344043277,-6.37064640256927,-6.49747537014569,-6.31773845947523,-4.74514329351245,-5.1325671914125,-5.13017166144397,-5.65545212228342,-6.0242293782935,-5.72151357802944,-6.35126409981978,-6.18837227658595,-6.41838413524103,-6.12751169813693,-4.43587589142447,-6.33187761082981,-5.96278526388297,-5.05630560027642,-6.70284213207673,-6.59864389913144,-6.29871179472005,-5.84517872789268,-4.55304460411511,-6.66523378073425,-4.74890628954575,-5.99894253803098,-6.47745987325814,-6.59372395061966,-6.41986436679933,-6.32789225164325,-6.56377552257703,-6.57944967091468,-6.05361839778923,-6.42748136175645,-3.71929954651502,-4.91426395720443,-4.84374680745913,-6.55945603187076,-4.9801579608642,-6.26211811510127,-6.49636927211455,-4.923563920232,-2.28958311851526,-6.47195479884343,-6.80137364662168,-6.32222816566451,-6.48662952129947,-6.56605035719975,-4.02149132647513,-6.64425686137472,-5.57853859517974,-6.55966731205889,-5.72416075495893,-6.87875293025062,-3.8493326376388,-3.75548860237213
B97,-4.49092491803137,-6.38738655350765,-5.07777525892123,-6.53716700900926,-3.23551387328945,-4.26566478499506,-5.69246800968709,-6.46929832381636,-3.41937118720381,-5.2070672638356,-6.61112855058027,-6.64276049056719,-5.90003700921508,-6.56864065448921,-4.38652880023953,-6.11471417234124,-5.52892817865325,-6.07438460401157,-4.49765124538778,-4.45183953784975,-5.83333988095057,-5.80736454509034,-5.46264938954283,-5.30876607677557,-4.82338150017111,-4.42953487513612,-3.9703303596833,-3.07064765458622,-5.54754316455274,-5.11247081336309,-5.02096101635109,-5.38849749826774,-5.59446229279366,-5.07408280984135,-6.68349888418311,-6.50972714781258,-6.56350596041712,-6.21596164782934,-5.35634914071156,-6.25961509185678,-6.67790844401892,-6.2681600262654,-5.47979041234242,-6.52677100698266,-5.79215509692854,-6.42630896864467,-5.79405311316281,-5.65898793223202,-5.88115318758959,-6.43861951994095,-6.41241622303979,-6.11786047504437,-6.02436771505131,-4.27951765967666,-6.45533277248651,-6.32318936409879,-6.48103866974391,-6.14939051364078,-6.09548379663657,-6.00912427005876,-5.98011589218022,-5.45526582655981,-6.5944860464053,-5.26017057834198,-5.70972919518629,-6.28868504666624,-4.44709136528329,-5.94112287557692,-3.45724819361091,-6.32312704107696,-6.17227269023521,-6.36778208250064,-6.18930413544102,-6.31369494952528,-6.66789065987399,-6.52164769193264,-6.70646488663372,-5.79443254230484,-5.73551251232788,-4.71237807101898,-6.01235117426645,-4.44361019533642,-6.18253279431751,-5.8212676803502,-5.25881264395811,-6.11423675124103,-4.88536248497659,-5.16496045128336,-6.10387450416967,-6.27438736223033,-5.25841086884446,-6.40337730906273,-4.4818104183531,-6.50580346079375,-6.26641343578418,-6.26622878237501,-6.44202158850586,-6.2281241145896296,-4.88593568000212,-5.00853422755688,-4.95970760869393,-5.65545212228342,-5.50361617866108,-5.78530546787021,-6.35126409981978,-6.15124443700459,-6.421745975486,-5.8209123950985,-4.43450159865423,-6.30769721364171,-5.98613146296697,-5.05630560027642,-6.58095141462504,-6.59864389913144,-6.30654069133808,-5.84517872789268,-4.6122586784666,-6.6800935959496,-4.74890628954575,-6.07848591737813,-6.47745987325814,-6.63719834670558,-6.49209606662751,-6.5171302459813,-6.56377552252887,-6.42577199859742,-6.05361839661899,-5.94190181871865,-3.68521224871892,-4.91426395825846,-4.9657348594833,-6.55945603187076,-5.02088638250262,-6.26211811270515,-6.49636927158928,-5.18746324949282,-2.19334154968737,-6.4915457861419,-6.75383459139286,-6.15731324125784,-6.48662952129947,-6.64949105000837,-4.21045390177866,-6.73010111682088,-5.0833055911249,-6.54777518652433,-4.88213238878615,-6.8705043302298,-3.7807119075795,-3.743741974483
