estimates,SE,P.value,type,ASV
-0.000380603055135236,0.000137179861117811,0.016,B,asv_001244
-3.50499090215244e-06,2.84574789358745e-05,0.932,G,asv_001244
-6.55095385768412e-05,3.83104983431291e-05,0.074,B,asv_001255
0,7.37012836211894e-06,0.734,G,asv_001255
-8.33471007045537e-05,0.000219484396777189,0.22,B,asv_001276
0,3.29911593814934e-05,0.65,G,asv_001276
-0.000205010881796481,6.05052809546653e-05,0,B,asv_001292
0,7.56642169545622e-06,0.636,G,asv_001292
0,0,0,B,asv_001294
0,0,0,G,asv_001294
-3.36282318941819e-05,2.87073231021329e-05,0.168,B,asv_001303
-1.67613138070844e-09,6.56480834760131e-06,0.608,G,asv_001303
-7.46554533865239e-07,1.35984656316544e-06,0.448,B,asv_001312
-1.27773017319679e-06,5.96700709626079e-07,0.682,G,asv_001312
4.26011579650355e-05,0.000138362600238489,0.65,B,asv_001319
1.74756602337417e-09,2.51810526777138e-05,0.538,G,asv_001319
0.000313931649908597,0.000133931287310517,0.032,B,asv_001323
-2.03477060713846e-05,2.32348537775694e-05,0.246,G,asv_001323
-8.68396827215266e-05,5.37187438702133e-05,0.088,B,asv_001347
1.78126858616391e-06,1.02254665961085e-05,0.292,G,asv_001347
0,0,0,B,asv_001370
0,0,0,G,asv_001370
-4.96163113131709e-06,1.37360353048758e-05,0.958,B,asv_001416
-2.55475551657436e-06,3.70766558548253e-06,0.464,G,asv_001416
0,0,0,B,asv_001444
0,0,0,G,asv_001444
-1.74384018860881e-06,1.00960739106661e-05,0.91,B,asv_001446
7.73241532491118e-07,2.53021071091989e-06,0.218,G,asv_001446
0.000135032559362333,0.000169421024084553,0.552,B,asv_001448
-1.66264903535168e-09,2.90489407986301e-05,0.676,G,asv_001448
0,0,0,B,asv_001461
0,0,0,G,asv_001461
0,0,0,B,asv_001466
0,0,0,G,asv_001466
-7.05285516140152e-05,4.12389801600736e-05,0.288,B,asv_001499
1.61418429681261e-09,5.74708679313271e-06,0.738,G,asv_001499
0.000103413478433333,8.84868122581309e-05,0.196,B,asv_001507
-1.10691168058013e-07,1.54122509669442e-05,0.728,G,asv_001507
-5.95152241013345e-06,6.47828151961968e-05,0.562,B,asv_001529
0,9.9656097310105e-06,0.62,G,asv_001529
0,2.25601293275005e-13,0.004,B,asv_001532
0,3.94525782537974e-08,0.02,G,asv_001532
-1.64353141597391e-05,1.35285976445968e-05,0.16,B,asv_001572
-4.9963818197131e-12,2.84804909306389e-06,0.586,G,asv_001572
-4.20852112345123e-05,1.84713085956384e-05,0.066,B,asv_001582
0,2.70806799607448e-06,0.424,G,asv_001582
0,1.09128691688877e-17,0,B,asv_001621
0,2.18475968693806e-13,0.002,G,asv_001621
2.51426408906175e-05,9.21159495555547e-05,0.668,B,asv_001649
0,1.48111282868317e-05,0.294,G,asv_001649
1.2901536616367e-05,1.35302607219979e-05,0.396,B,asv_001657
1.94666712901189e-06,1.99186990382273e-06,0.342,G,asv_001657
4.23570662998153e-05,5.60113090370584e-05,0.89,B,asv_001659
0,8.72957400493669e-06,0.806,G,asv_001659
-6.51847341904945e-05,5.96051198216233e-05,0.094,B,asv_001660
4.86553582574131e-12,6.80860985242452e-06,0.422,G,asv_001660
-2.22265739021971e-05,5.25470588373577e-05,0.82,B,asv_001667
0,1.2376324611068e-05,0.176,G,asv_001667
-1.97126476317839e-05,1.50933276363214e-05,0.152,B,asv_001749
0,2.34735460894211e-06,0.706,G,asv_001749
-0.000150006442354217,6.25100842006972e-05,0.004,B,asv_001772
-1.80575413982591e-06,1.05286158263079e-05,0.696,G,asv_001772
2.74756168749576e-12,7.04067783979605e-12,0.46,B,asv_001806
0,5.81306743975666e-07,0.46,G,asv_001806
-0.000110027454256026,0.000134744218704079,0.368,B,asv_001834
-1.26846854123833e-06,2.52003789651371e-05,0.758,G,asv_001834
