estimates,SE,P.value,type,ASV
0.000361862940594693,0.000185550824471845,0.048,B,asv_000217
4.10111508391771e-12,3.23364291141296e-05,0.594,G,asv_000217
-0.000197063329318713,0.000266251577391926,0.434,B,asv_000237
2.98513276593714e-05,3.95425142462131e-05,0.368,G,asv_000237
-1.18942747748023e-13,3.0583834615658e-12,0.672,B,asv_000241
0,4.70452651395577e-07,0.484,G,asv_000241
0.000158281416295397,0.000115141512682746,0.162,B,asv_000245
0,1.4968174609696e-05,0.46,G,asv_000245
9.30670150222826e-05,5.39973667631001e-05,0.084,B,asv_000246
-3.74656704910738e-06,7.9000384370767e-06,0.734,G,asv_000246
-3.6568385503261e-05,3.69260655089919e-05,0.476,B,asv_000251
0,4.84218435833472e-06,0.656,G,asv_000251
-0.000521872704976438,0.000156059563076818,0.002,B,asv_000260
6.43228207923608e-06,1.96421394404132e-05,0.78,G,asv_000260
0.000490552447288722,0.000300439026580449,0.05,B,asv_000272
0,5.59295285132299e-05,0.574,G,asv_000272
-0.000128751365877165,0.000128720631172529,0.53,B,asv_000281
5.09139856650358e-06,1.9222283398509e-05,0.146,G,asv_000281
-4.91023876753755e-05,4.02342585933987e-05,0.162,B,asv_000294
0,6.13374054435741e-06,0.562,G,asv_000294
7.37627133338058e-05,3.68579533389209e-05,0.034,B,asv_000311
0,3.67593919632283e-06,0.668,G,asv_000311
0.000137197506313022,0.000108521810938451,0.082,B,asv_000322
6.49882769137547e-06,1.48475841560807e-05,0.12,G,asv_000322
-0.000495567045122818,0.000147296187425879,0.002,B,asv_000330
1.16939677352137e-05,2.38180391693629e-05,0.354,G,asv_000330
-0.000103975775513375,0.000108245172644261,0.12,B,asv_000341
0,1.30562303836009e-05,0.314,G,asv_000341
0.000159889014769598,3.99673351029237e-05,0,B,asv_000369
-8.8869988433528e-07,4.69415087656714e-06,0.26,G,asv_000369
0,4.97174579146537e-13,0.116,B,asv_000370
0,8.35790128224151e-08,0.216,G,asv_000370
-9.57566934698443e-05,6.0820302724657e-05,0.066,B,asv_000396
4.32077142363895e-06,9.45903620692482e-06,0.334,G,asv_000396
8.1706943502971e-05,0.00012967662901786,0.474,B,asv_000406
1.53044939991194e-06,1.5274968731433e-05,0.63,G,asv_000406
0,0,0,B,asv_000411
0,0,0,G,asv_000411
-0.000516124903329178,0.000136134188411496,0,B,asv_000431
1.32186685006224e-05,2.14798731703352e-05,0.092,G,asv_000431
0.000317750529937067,0.000104384077173012,0.012,B,asv_000470
0,1.2308523143299e-05,0.584,G,asv_000470
-0.00015625816726226,0.000101233428200992,0.124,B,asv_000473
3.40863177518382e-06,1.32553617265778e-05,0.24,G,asv_000473
-4.59467549108173e-11,8.95557631316273e-11,0.662,B,asv_000483
0,4.97473400410775e-07,0.43,G,asv_000483
0.000189660527011136,7.69786922223605e-05,0.018,B,asv_000487
0,1.24751788235707e-05,0.526,G,asv_000487
-0.000121625880109413,9.42538321749292e-05,0.052,B,asv_000492
0,1.04612863580236e-05,0.362,G,asv_000492
5.75942807857212e-05,0.000155294674549468,0.516,B,asv_000498
0,2.61547018952242e-05,0.742,G,asv_000498
-6.52768491893921e-05,5.28616709783653e-05,0.152,B,asv_000511
6.88063121508734e-06,9.22668317012843e-06,0.208,G,asv_000511
0.000843904749604571,0.000443557288482189,0.014,B,asv_000529
1.0966534800181e-05,5.99214695590413e-05,0.15,G,asv_000529
0.00035861911661176,0.000143443337990796,0.046,B,asv_000544
-5.0372297362581e-06,2.11086488531556e-05,0.306,G,asv_000544
1.02907939050497e-05,0.000154591092497264,0.7,B,asv_000549
7.49175334140242e-06,2.79313983641227e-05,0.338,G,asv_000549
-0.000480116010404151,0.000169091395179828,0.01,B,asv_000551
0,3.65441480778486e-05,0.828,G,asv_000551
-0.000388109802292519,0.00018245154997461,0.106,B,asv_000552
2.09544481705703e-09,3.18014428263796e-05,0.42,G,asv_000552
-0.000434466480022422,0.000165915417867733,0.01,B,asv_000559
8.75454624691623e-06,2.49638135585495e-05,0.428,G,asv_000559
-3.71872032620304e-05,2.07111887080314e-05,0.088,B,asv_000570
